Date,Open,High,Low,Close,Adj Close,Volume
2016-03-18,199.899994,203.000000,195.000000,200.500000,195.567886,81425
2016-03-21,198.250000,201.000000,198.250000,200.500000,195.567886,12918
2016-03-22,202.000000,202.000000,202.000000,200.500000,195.567886,955
2016-03-23,197.500000,203.949997,197.500000,201.500000,196.543289,39882
2016-03-24,203.949997,205.000000,203.949997,201.500000,196.543289,4400
2016-03-29,205.000000,212.000000,205.000000,208.500000,203.371094,12708
2016-03-30,208.500000,208.500000,208.500000,208.500000,203.371094,0
2016-03-31,212.000000,215.000000,212.000000,213.500000,208.248093,6160
2016-04-01,213.500000,213.500000,213.500000,213.500000,208.248093,0
2016-04-04,217.000000,217.000000,217.000000,213.500000,208.248093,1048
2016-04-05,213.500000,213.500000,213.500000,213.500000,208.248093,0
2016-04-06,211.000000,217.000000,211.000000,213.500000,208.248093,5799
2016-04-07,217.000000,217.000000,211.000000,213.500000,208.248093,12428
2016-04-08,217.000000,224.000000,217.000000,223.000000,217.514389,7400
2016-04-11,221.000000,225.000000,221.000000,223.000000,217.514389,5886
2016-04-12,225.000000,225.000000,225.000000,224.500000,218.977493,3550
2016-04-13,228.000000,240.000000,228.000000,236.000000,230.194611,47352
2016-04-14,235.246002,240.500000,235.000000,238.500000,232.633118,26640
2016-04-15,240.000000,241.250000,239.899994,238.500000,232.633118,3258
2016-04-18,242.600006,255.000000,242.600006,251.000000,244.825623,28511
2016-04-19,254.919998,274.750000,246.279999,250.000000,243.850220,50919
2016-04-20,259.799988,268.000000,255.000000,263.000000,256.530457,12157
2016-04-21,267.500000,267.500000,256.500000,260.000000,253.604233,20474
2016-04-22,263.899994,263.899994,257.000000,260.000000,253.604233,3626
2016-04-25,264.250000,264.250000,263.000000,260.000000,253.604233,1396
2016-04-26,255.500000,260.000000,250.000000,250.000000,243.850220,7959
2016-04-27,255.000000,258.000000,247.000000,250.000000,243.850220,17188
2016-04-28,254.899994,254.899994,247.250000,250.000000,243.850220,1713
2016-04-29,254.899994,254.899994,254.899994,250.000000,243.850220,4000
2016-05-03,247.500000,247.500000,247.500000,250.000000,243.850220,2000
2016-05-04,250.000000,250.000000,250.000000,250.000000,243.850220,0
2016-05-05,250.000000,245.500000,230.000000,235.000000,229.219193,33146
2016-05-06,231.250000,231.250000,230.000000,235.000000,229.219193,3635
2016-05-09,233.000000,233.000000,233.000000,233.000000,227.268417,0
2016-05-10,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-05-11,230.750000,230.750000,230.500000,235.000000,229.219193,2250
2016-05-12,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-05-13,237.000000,237.000000,237.000000,235.000000,229.219193,2104
2016-05-16,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-05-17,230.250000,230.250000,230.250000,235.000000,229.219193,1002
2016-05-18,230.250000,230.250000,230.250000,235.000000,229.219193,609
2016-05-19,230.250000,230.250000,230.250000,235.000000,229.219193,872
2016-05-20,230.000000,235.000000,230.000000,235.000000,229.219193,21000
2016-05-23,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-05-24,237.000000,237.000000,230.000000,235.000000,229.219193,8573
2016-05-25,230.000000,230.000000,230.000000,235.000000,229.219193,4000
2016-05-26,230.199997,235.000000,230.000000,235.000000,229.219193,11299
2016-05-27,230.250000,230.250000,227.000000,235.000000,229.219193,19042
2016-05-31,237.000000,237.000000,237.000000,235.000000,229.219193,2950
2016-06-01,230.003006,239.800003,230.003006,235.000000,229.219193,4250
2016-06-02,244.500000,250.000000,244.500000,245.000000,238.973221,5000
2016-06-03,241.500000,242.000000,234.250000,238.000000,232.145416,15203
2016-06-06,242.800003,242.800003,230.000000,235.000000,229.219193,14200
2016-06-07,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-08,236.000000,236.000000,236.000000,235.000000,229.219193,2000
2016-06-09,238.000000,238.000000,238.000000,235.000000,229.219193,900
2016-06-10,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-13,230.000000,230.000000,230.000000,235.000000,229.219193,1900
2016-06-14,230.000000,230.000000,230.000000,235.000000,229.219193,400
2016-06-15,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-16,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-17,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-20,237.750000,237.750000,237.750000,235.000000,229.219193,1000
2016-06-21,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-22,235.000000,235.000000,235.000000,235.000000,229.219193,0
2016-06-23,231.000000,231.000000,231.000000,235.000000,229.219193,1350
2016-06-24,220.000000,220.000000,220.000000,225.000000,219.465210,1700
2016-06-27,228.000000,229.500000,220.000000,225.000000,219.465210,1923
2016-06-28,226.000000,226.000000,226.000000,225.000000,219.465210,884
2016-06-29,225.000000,225.000000,225.000000,225.000000,219.465210,0
2016-06-30,227.500000,229.800003,227.500000,227.500000,221.903717,7849
2016-07-01,234.300003,234.300003,234.300003,230.000000,224.342209,1000
2016-07-04,230.000000,230.000000,230.000000,230.000000,224.342209,0
2016-07-05,230.000000,230.000000,230.000000,230.000000,224.342209,0
2016-07-06,226.000000,226.000000,225.699997,225.000000,219.465210,1417
2016-07-07,225.000000,225.000000,225.000000,225.000000,219.465210,0
2016-07-08,220.750000,229.000000,220.750000,225.000000,219.465210,2072
2016-07-11,229.500000,229.500000,220.000000,225.000000,219.465210,7741
2016-07-12,215.000000,217.000000,215.000000,222.500000,217.026688,10040
2016-07-13,220.000000,220.000000,220.000000,222.500000,217.026688,5500
2016-07-14,222.500000,222.500000,220.000000,222.500000,217.026688,401000
2016-07-15,222.500000,222.500000,222.500000,222.500000,217.026688,0
2016-07-18,229.500000,234.500000,229.500000,230.000000,224.342209,1778
2016-07-19,234.000000,234.000000,227.000000,230.000000,224.342209,2213
2016-07-20,235.000000,235.000000,235.000000,230.000000,224.342209,845
2016-07-21,235.000000,235.000000,235.000000,232.500000,226.780716,1271
2016-07-22,239.250000,239.250000,239.250000,232.500000,226.780716,208
2016-07-25,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-07-26,228.000000,228.000000,227.000000,232.500000,226.780716,1642
2016-07-27,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-07-28,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-07-29,227.000000,240.000000,227.000000,232.500000,226.780716,315
2016-08-01,227.000000,227.000000,227.000000,232.500000,226.780716,845
2016-08-02,227.000000,227.000000,227.000000,232.500000,226.780716,1500
2016-08-03,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-08-04,238.500000,238.500000,238.500000,232.500000,226.780716,20
2016-08-05,238.500000,238.500000,238.500000,232.500000,226.780716,64
2016-08-08,238.500000,238.500000,238.500000,232.500000,226.780716,1672
2016-08-09,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-08-10,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-08-11,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-08-12,232.500000,232.500000,232.500000,232.500000,226.780716,0
2016-08-15,239.699997,240.242004,235.199997,237.500000,231.657715,7617
2016-08-16,237.500000,237.500000,237.500000,237.500000,231.657715,0
2016-08-17,237.500000,237.500000,237.500000,237.500000,231.657715,0
2016-08-18,237.500000,237.500000,237.500000,237.500000,231.657715,0
2016-08-19,242.000000,242.000000,235.699997,240.000000,234.096222,2961
2016-08-22,242.500000,242.500000,240.000000,240.000000,234.096222,5050
2016-08-23,242.500000,242.500000,235.000000,242.500000,236.534729,61000
